claim_id,Logistic Regression,Random Forest,XGBoost,All_Models
1,0,0,0,False
2,0,0,0,False
10,0,0,0,False
26,0,1,1,False
33,0,0,0,False
43,0,0,0,False
53,0,0,0,False
58,0,0,0,False
62,0,0,0,False
64,0,0,0,False
66,1,0,1,False
69,0,0,1,False
71,0,0,1,False
73,0,0,0,False
78,0,0,0,False
79,0,0,0,False
87,0,0,0,False
97,0,0,0,False
98,0,0,0,False
102,0,0,1,False
111,0,0,0,False
116,0,0,0,False
117,0,0,0,False
122,0,1,1,False
126,0,0,0,False
134,0,0,0,False
136,1,1,1,True
139,0,0,0,False
140,0,0,0,False
143,0,0,0,False
145,0,0,0,False
150,1,1,1,True
151,0,0,0,False
152,0,0,0,False
159,0,0,0,False
161,0,0,0,False
164,0,0,0,False
171,0,0,0,False
173,0,0,0,False
175,0,0,0,False
177,0,0,0,False
181,0,0,0,False
188,0,0,0,False
194,0,0,0,False
196,0,0,0,False
210,0,0,0,False
222,0,0,0,False
230,0,0,0,False
240,0,0,0,False
250,1,0,1,False
256,0,1,0,False
259,0,0,0,False
261,0,0,0,False
263,0,0,0,False
265,0,0,0,False
266,0,0,0,False
269,0,0,1,False
279,0,0,0,False
291,0,0,1,False
297,0,0,0,False
300,1,1,1,True
312,0,0,0,False
320,0,0,1,False
324,0,0,0,False
325,0,0,1,False
329,0,0,1,False
330,0,0,1,False
341,1,1,1,True
349,1,1,1,True
355,0,0,0,False
360,0,0,0,False
365,0,0,0,False
376,0,0,0,False
383,0,0,0,False
396,0,0,0,False
397,0,1,0,False
398,0,0,0,False
406,0,0,0,False
407,0,0,0,False
409,0,0,0,False
417,0,0,0,False
419,0,0,0,False
420,0,0,0,False
424,0,0,0,False
425,0,0,1,False
426,0,0,0,False
433,1,0,1,False
435,0,0,1,False
437,1,0,0,False
445,0,0,0,False
450,1,0,0,False
464,0,0,0,False
466,1,0,1,False
478,0,1,0,False
481,0,1,0,False
494,0,0,0,False
495,1,1,1,True
501,0,0,0,False
505,1,1,1,True
510,0,0,0,False
511,0,0,0,False
518,0,0,0,False
519,0,0,0,False
521,0,0,0,False
529,0,0,0,False
534,0,0,0,False
536,0,0,1,False
543,1,0,0,False
550,0,0,0,False
558,0,0,0,False
561,0,0,0,False
566,0,0,0,False
571,0,0,0,False
577,0,0,0,False
580,0,0,0,False
587,0,0,0,False
590,0,0,0,False
592,0,0,1,False
597,0,0,0,False
598,1,0,1,False
604,0,0,0,False
610,0,0,0,False
611,0,0,0,False
616,0,0,0,False
619,0,0,0,False
621,0,0,1,False
622,0,0,0,False
629,1,1,1,True
631,0,0,0,False
639,1,1,1,True
642,0,0,0,False
651,1,1,1,True
661,0,0,0,False
669,0,0,1,False
670,1,1,1,True
678,0,0,0,False
692,1,0,1,False
697,0,0,0,False
702,0,0,1,False
705,0,0,0,False
707,0,0,0,False
715,0,1,1,False
716,1,1,1,True
717,0,0,0,False
721,0,0,0,False
723,0,0,0,False
725,0,0,0,False
739,0,0,0,False
743,0,0,0,False
749,1,1,1,True
751,0,0,0,False
765,0,0,0,False
767,0,0,0,False
770,0,0,0,False
773,0,0,0,False
781,0,0,0,False
782,0,0,0,False
788,0,0,0,False
790,0,0,0,False
794,0,0,0,False
796,0,0,0,False
800,0,0,0,False
803,0,0,0,False
805,0,0,0,False
807,0,0,0,False
817,0,0,0,False
819,0,0,0,False
822,0,0,0,False
825,0,0,0,False
826,0,0,0,False
833,0,0,0,False
834,0,0,0,False
839,0,0,1,False
842,0,0,0,False
846,1,1,1,True
859,0,0,0,False
860,0,0,0,False
867,0,0,0,False
879,0,1,1,False
884,0,0,0,False
887,0,0,0,False
892,0,0,0,False
894,0,0,0,False
907,0,0,0,False
914,0,0,0,False
917,0,0,0,False
923,0,0,0,False
929,0,0,0,False
950,0,0,0,False
953,0,0,0,False
960,0,0,0,False
961,0,0,0,False
964,0,0,0,False
968,0,0,1,False
969,0,0,1,False
971,0,0,0,False
976,0,0,0,False
978,0,0,1,False
982,0,0,0,False
989,0,0,0,False
3,0,0,0,False
5,0,0,0,False
6,0,0,0,False
12,1,1,1,True
18,0,0,0,False
20,0,0,0,False
21,0,0,0,False
35,0,0,0,False
38,0,0,0,False
41,0,0,0,False
42,1,1,1,True
44,0,0,0,False
54,0,1,1,False
68,0,1,0,False
75,0,0,0,False
80,0,1,1,False
88,0,0,0,False
95,0,0,0,False
99,0,0,0,False
103,0,0,0,False
104,0,0,0,False
106,0,0,0,False
107,0,0,1,False
108,0,0,0,False
113,0,0,0,False
124,0,0,0,False
125,0,0,0,False
128,0,0,0,False
130,0,0,0,False
131,0,0,0,False
138,0,0,0,False
147,1,1,1,True
155,0,0,0,False
157,0,0,0,False
163,0,0,0,False
170,0,0,0,False
180,0,0,0,False
183,0,0,0,False
205,0,0,0,False
207,1,1,1,True
216,0,0,0,False
217,0,0,0,False
220,0,0,0,False
221,1,1,0,False
224,0,0,0,False
226,0,0,0,False
228,0,0,0,False
231,0,0,0,False
246,0,0,1,False
260,0,0,1,False
270,0,0,0,False
272,0,0,0,False
278,0,0,0,False
282,0,0,0,False
294,0,0,0,False
295,0,0,0,False
309,0,0,0,False
310,0,0,0,False
318,0,0,0,False
336,0,0,0,False
338,0,0,0,False
340,0,0,0,False
343,1,0,1,False
347,0,0,0,False
348,0,0,0,False
352,0,0,0,False
356,0,0,0,False
359,1,0,1,False
363,0,0,0,False
364,0,0,1,False
367,0,0,0,False
374,0,0,0,False
378,0,0,0,False
379,0,0,0,False
385,0,0,0,False
386,0,0,0,False
391,0,0,0,False
392,0,0,0,False
399,0,0,0,False
400,0,0,0,False
427,0,0,1,False
428,0,0,0,False
429,0,1,1,False
440,0,0,0,False
448,0,1,0,False
454,0,0,0,False
456,0,0,0,False
457,0,0,0,False
461,0,0,0,False
462,0,0,0,False
463,0,0,1,False
467,0,0,0,False
477,0,1,0,False
480,1,1,1,True
482,0,0,0,False
489,0,0,0,False
503,0,1,1,False
504,0,0,0,False
507,0,0,0,False
508,0,0,0,False
540,0,0,0,False
542,0,0,0,False
549,0,0,0,False
551,0,0,0,False
552,0,0,0,False
553,0,0,1,False
555,0,0,0,False
557,0,0,0,False
560,0,0,0,False
574,1,1,1,True
576,0,0,0,False
578,1,0,0,False
581,0,0,0,False
585,0,0,0,False
589,1,0,1,False
602,0,0,0,False
606,0,0,0,False
607,0,0,0,False
608,0,0,0,False
615,0,0,0,False
617,0,1,1,False
630,0,1,1,False
646,0,0,0,False
649,0,0,0,False
658,0,0,0,False
660,0,0,0,False
662,1,1,1,True
672,0,0,0,False
673,0,0,0,False
676,0,0,0,False
677,0,0,0,False
679,0,0,0,False
683,0,0,0,False
701,0,0,1,False
709,0,0,0,False
710,0,1,1,False
714,1,0,0,False
726,0,0,0,False
728,1,1,0,False
731,0,0,1,False
737,0,0,0,False
745,1,0,0,False
747,0,0,0,False
748,0,0,0,False
754,0,0,0,False
759,0,0,0,False
760,0,0,0,False
769,0,0,0,False
772,0,0,0,False
774,0,0,0,False
776,0,0,0,False
777,0,0,0,False
778,0,0,0,False
785,0,1,1,False
786,1,1,1,True
792,0,1,1,False
799,1,0,1,False
802,0,0,0,False
808,0,0,0,False
820,0,0,0,False
838,0,0,0,False
843,0,0,0,False
844,0,0,1,False
845,0,0,0,False
849,1,0,0,False
853,0,0,0,False
854,0,1,1,False
862,0,0,0,False
864,0,0,0,False
865,0,0,0,False
872,0,0,0,False
878,0,0,0,False
889,1,1,1,True
890,0,0,1,False
891,0,0,0,False
895,0,0,0,False
896,0,0,1,False
902,0,0,0,False
905,0,0,0,False
908,0,0,0,False
912,0,0,0,False
926,0,0,0,False
927,0,0,0,False
930,1,0,1,False
934,0,0,0,False
936,0,0,1,False
938,0,0,0,False
942,0,0,1,False
945,0,0,0,False
951,0,0,0,False
962,0,0,0,False
966,0,0,0,False
970,0,0,0,False
972,0,0,0,False
974,0,0,0,False
980,0,0,0,False
983,0,0,0,False
990,0,0,0,False
992,0,0,0,False
994,0,0,0,False
8,0,0,0,False
17,1,1,1,True
22,0,0,0,False
24,1,1,1,True
29,0,0,0,False
45,0,0,0,False
47,0,0,0,False
52,0,0,0,False
60,0,0,0,False
67,0,0,0,False
72,1,0,1,False
76,0,0,0,False
77,0,0,0,False
81,0,0,0,False
84,0,0,0,False
91,0,0,0,False
101,0,0,0,False
112,1,1,1,True
114,0,0,1,False
115,0,0,0,False
123,0,0,1,False
135,0,0,0,False
137,0,0,0,False
146,1,1,1,True
148,0,0,0,False
153,0,0,0,False
158,0,0,0,False
186,1,1,1,True
191,0,0,0,False
193,0,0,0,False
201,0,0,0,False
202,0,0,0,False
203,0,0,0,False
209,0,0,0,False
214,1,0,0,False
218,0,0,0,False
223,0,0,0,False
227,0,0,0,False
232,0,0,0,False
233,0,0,0,False
235,1,1,1,True
239,1,1,1,True
242,1,1,1,True
243,0,0,0,False
245,0,0,0,False
247,0,0,0,False
249,0,0,0,False
251,0,0,0,False
252,1,1,1,True
253,0,0,0,False
255,0,1,1,False
258,1,1,1,True
262,0,0,0,False
264,0,0,0,False
267,0,0,0,False
268,0,0,0,False
271,0,0,0,False
273,0,1,1,False
274,0,0,0,False
280,0,0,0,False
283,0,0,0,False
284,0,1,1,False
296,0,0,0,False
298,0,0,0,False
299,0,0,0,False
302,0,0,0,False
307,0,0,1,False
311,1,1,1,True
314,0,0,0,False
315,0,0,0,False
316,0,0,0,False
319,0,0,0,False
331,0,0,0,False
333,0,0,0,False
334,0,0,0,False
335,0,0,0,False
353,0,0,0,False
361,1,1,1,True
366,0,1,1,False
368,0,0,0,False
371,1,0,1,False
372,0,0,0,False
377,1,0,1,False
382,0,0,0,False
387,0,1,1,False
394,0,0,0,False
405,0,1,1,False
411,0,0,0,False
414,1,1,0,False
416,0,0,0,False
422,0,0,0,False
423,0,1,1,False
434,0,0,0,False
438,1,1,1,True
439,0,0,0,False
441,0,0,0,False
443,0,1,1,False
446,1,0,1,False
447,0,0,0,False
451,0,0,0,False
459,0,0,0,False
468,1,0,1,False
470,0,0,0,False
474,0,0,0,False
479,0,0,1,False
486,0,0,0,False
490,0,0,1,False
492,0,0,0,False
506,0,0,0,False
509,0,0,0,False
512,0,0,0,False
515,0,1,1,False
523,0,1,0,False
527,0,1,1,False
528,0,0,0,False
530,1,0,1,False
532,1,1,1,True
533,0,0,0,False
539,0,0,0,False
541,1,1,1,True
548,1,1,1,True
554,0,0,0,False
556,1,1,1,True
559,0,0,0,False
563,0,0,0,False
565,0,0,0,False
594,1,1,0,False
605,0,0,0,False
614,0,0,0,False
627,0,1,1,False
628,0,0,0,False
640,0,0,0,False
641,0,0,0,False
643,1,1,1,True
644,0,0,1,False
653,1,1,1,True
654,0,0,0,False
656,1,1,1,True
657,0,0,0,False
666,0,1,1,False
668,0,0,0,False
674,0,0,0,False
675,0,0,0,False
680,0,0,0,False
691,0,0,0,False
695,0,0,0,False
696,0,0,0,False
708,1,1,1,True
712,0,0,0,False
722,0,0,0,False
727,0,0,0,False
730,0,0,1,False
732,1,1,1,True
733,0,0,0,False
738,0,0,0,False
741,0,0,0,False
742,0,0,0,False
752,0,0,0,False
756,1,1,0,False
757,0,0,0,False
762,0,0,0,False
771,0,0,0,False
775,0,0,0,False
789,1,1,1,True
798,0,0,0,False
801,0,0,0,False
809,0,0,0,False
812,0,0,0,False
814,0,0,0,False
816,0,0,0,False
823,0,0,0,False
828,0,0,0,False
831,0,0,0,False
837,0,0,0,False
847,0,0,0,False
850,0,0,0,False
861,0,0,0,False
874,0,0,1,False
876,0,0,1,False
877,0,0,0,False
886,0,0,0,False
909,0,0,0,False
911,0,0,0,False
913,0,0,0,False
918,1,1,1,True
920,0,1,1,False
925,0,0,0,False
928,0,0,0,False
932,0,0,0,False
935,1,1,1,True
947,0,0,0,False
954,0,0,0,False
955,0,0,0,False
963,0,0,0,False
975,1,0,1,False
981,0,0,0,False
986,0,0,0,False
988,1,1,1,True
993,0,0,1,False
997,1,1,1,True
4,1,1,1,True
7,0,0,0,False
11,0,0,0,False
13,0,0,0,False
14,0,0,0,False
15,0,0,0,False
16,0,0,0,False
23,1,1,0,False
25,0,0,0,False
27,0,0,0,False
31,0,1,1,False
34,1,1,1,True
40,0,1,1,False
55,0,0,0,False
65,1,1,1,True
74,0,0,0,False
89,0,0,0,False
90,1,0,1,False
93,0,0,0,False
100,0,0,0,False
119,0,0,0,False
120,0,0,0,False
133,0,0,1,False
142,0,0,0,False
149,1,1,1,True
154,0,0,0,False
156,1,0,1,False
162,0,0,0,False
165,0,1,0,False
169,0,0,0,False
172,0,0,0,False
178,0,0,0,False
179,0,0,0,False
187,0,0,0,False
189,1,0,1,False
190,0,0,0,False
192,0,0,0,False
195,0,0,0,False
198,0,0,0,False
199,1,1,1,True
200,0,0,0,False
204,1,1,1,True
206,0,0,0,False
215,1,0,1,False
219,0,0,0,False
229,0,0,0,False
234,0,0,1,False
236,0,0,0,False
237,0,0,0,False
238,1,1,1,True
254,0,0,1,False
257,0,0,0,False
275,0,0,0,False
276,0,0,1,False
287,0,0,0,False
290,0,0,0,False
292,0,0,0,False
293,1,0,0,False
303,1,1,1,True
321,0,0,0,False
322,1,1,1,True
323,0,0,0,False
326,0,0,0,False
328,0,0,0,False
332,0,1,1,False
342,0,0,0,False
345,0,0,0,False
351,0,0,0,False
354,0,0,0,False
357,0,0,1,False
358,0,0,0,False
362,0,0,1,False
369,0,0,0,False
373,0,0,0,False
375,1,1,1,True
380,0,1,0,False
389,0,0,0,False
390,0,0,1,False
393,0,0,0,False
395,1,1,1,True
401,0,0,0,False
403,0,0,1,False
412,0,0,0,False
413,0,0,0,False
415,0,0,0,False
418,0,0,0,False
430,0,0,0,False
431,0,0,0,False
436,0,0,0,False
442,0,0,0,False
452,0,0,0,False
455,0,0,0,False
458,0,0,1,False
460,0,0,0,False
469,0,0,0,False
471,1,1,1,True
472,0,0,0,False
473,0,0,0,False
475,1,1,1,True
476,0,0,0,False
483,0,0,1,False
484,0,0,0,False
487,0,0,0,False
488,0,0,0,False
497,0,0,0,False
498,0,0,0,False
516,0,0,0,False
517,0,0,0,False
520,0,0,0,False
522,0,0,0,False
524,0,0,0,False
526,0,0,0,False
531,0,0,0,False
535,0,0,0,False
544,0,0,0,False
545,0,0,0,False
546,1,1,1,True
547,0,0,0,False
564,0,0,0,False
567,0,0,0,False
568,0,0,0,False
579,0,0,0,False
582,1,0,1,False
588,1,1,1,True
593,0,0,0,False
596,1,1,1,True
600,0,1,1,False
601,0,0,0,False
603,1,1,1,True
612,0,0,0,False
623,0,0,0,False
633,0,0,0,False
635,0,0,1,False
636,1,0,1,False
645,0,0,0,False
648,0,0,0,False
650,1,1,0,False
659,0,0,0,False
663,0,0,0,False
665,0,0,0,False
671,0,0,0,False
681,0,0,0,False
684,0,1,1,False
687,0,0,0,False
690,1,1,1,True
698,1,1,1,True
699,0,0,0,False
700,0,0,0,False
703,0,0,0,False
706,0,0,0,False
718,0,0,0,False
724,0,0,0,False
734,0,1,0,False
744,1,1,1,True
750,0,0,0,False
758,0,0,0,False
766,0,0,0,False
779,0,0,0,False
780,0,0,0,False
783,0,0,0,False
784,0,0,0,False
791,0,0,0,False
804,1,1,1,True
813,0,0,0,False
821,0,0,0,False
827,0,0,0,False
832,1,1,0,False
835,0,0,0,False
836,0,0,0,False
840,1,0,1,False
851,0,0,0,False
857,0,0,0,False
858,0,0,0,False
866,1,1,1,True
870,1,0,0,False
873,1,1,1,True
875,0,0,0,False
881,0,1,1,False
885,0,0,0,False
888,0,0,0,False
893,0,0,0,False
897,0,0,0,False
898,0,0,0,False
901,0,0,0,False
906,0,0,1,False
910,0,0,0,False
916,1,1,1,True
919,0,0,0,False
921,0,0,0,False
933,0,0,0,False
937,0,0,0,False
949,0,0,0,False
957,0,0,0,False
973,0,1,1,False
977,0,0,1,False
984,0,0,0,False
987,0,0,0,False
995,0,0,0,False
998,0,0,0,False
1000,0,0,0,False
9,0,0,0,False
19,0,0,0,False
28,1,0,1,False
30,0,0,0,False
32,0,0,1,False
36,1,1,1,True
37,0,0,0,False
39,0,0,1,False
46,0,0,0,False
48,0,0,0,False
49,0,0,0,False
50,0,0,0,False
51,0,0,0,False
56,0,0,0,False
57,1,1,1,True
59,0,0,0,False
61,0,0,1,False
63,0,0,0,False
70,0,0,0,False
82,0,0,0,False
83,0,0,0,False
85,0,1,1,False
86,0,0,0,False
92,0,1,1,False
94,1,0,1,False
96,0,0,0,False
105,0,0,0,False
109,0,0,1,False
110,1,1,1,True
118,0,0,1,False
121,0,0,0,False
127,0,0,0,False
129,0,0,1,False
132,1,1,1,True
141,0,0,0,False
144,1,1,1,True
160,0,0,0,False
166,0,0,0,False
167,1,1,1,True
168,0,0,0,False
174,1,1,1,True
176,0,0,0,False
182,0,0,0,False
184,0,1,1,False
185,0,0,0,False
197,0,0,0,False
208,0,0,0,False
211,0,0,0,False
212,0,0,0,False
213,0,0,0,False
225,0,0,0,False
241,1,1,1,True
244,0,0,0,False
248,1,1,1,True
277,0,0,0,False
281,0,0,0,False
285,0,0,1,False
286,0,0,0,False
288,0,0,0,False
289,0,0,1,False
301,0,0,0,False
304,0,0,0,False
305,0,0,0,False
306,0,0,1,False
308,0,0,1,False
313,0,0,0,False
317,0,0,0,False
327,0,0,0,False
337,0,0,0,False
339,0,0,0,False
344,0,0,0,False
346,0,0,0,False
350,0,0,1,False
370,1,1,1,True
381,0,0,0,False
384,1,1,1,True
388,0,0,0,False
402,0,0,0,False
404,0,0,0,False
408,0,0,0,False
410,1,0,1,False
421,1,1,1,True
432,0,0,0,False
444,0,0,0,False
449,0,0,0,False
453,0,0,0,False
465,0,0,0,False
485,0,0,0,False
491,0,0,0,False
493,0,0,1,False
496,0,0,0,False
499,1,1,1,True
500,0,0,0,False
502,0,1,0,False
513,0,0,0,False
514,1,1,1,True
525,0,0,0,False
537,1,1,1,True
538,0,0,0,False
562,0,1,1,False
569,0,0,0,False
570,0,0,0,False
572,0,0,0,False
573,0,1,1,False
575,1,1,1,True
583,0,0,0,False
584,0,0,0,False
586,0,0,0,False
591,0,1,1,False
595,1,1,1,True
599,0,0,1,False
609,0,0,0,False
613,1,1,1,True
618,0,0,0,False
620,0,0,0,False
624,1,0,1,False
625,0,0,0,False
626,1,1,1,True
632,0,0,0,False
634,1,0,1,False
637,0,0,0,False
638,0,0,0,False
647,0,0,0,False
652,0,0,0,False
655,0,0,0,False
664,0,0,0,False
667,1,0,1,False
682,0,0,0,False
685,1,0,1,False
686,1,0,0,False
688,0,0,0,False
689,0,0,0,False
693,0,0,0,False
694,0,0,0,False
704,0,1,1,False
711,0,1,1,False
713,1,1,1,True
719,0,0,0,False
720,0,0,0,False
729,1,1,1,True
735,0,0,0,False
736,0,0,0,False
740,0,0,0,False
746,1,1,1,True
753,0,0,0,False
755,0,0,0,False
761,0,0,0,False
763,1,0,1,False
764,1,1,1,True
768,0,0,1,False
787,0,0,0,False
793,0,0,0,False
795,0,0,0,False
797,1,1,1,True
806,0,0,0,False
810,0,0,0,False
811,0,0,0,False
815,0,0,0,False
818,1,0,1,False
824,1,0,1,False
829,1,1,0,False
830,1,1,1,True
841,0,0,0,False
848,0,0,0,False
852,1,1,1,True
855,0,0,0,False
856,0,0,0,False
863,0,0,0,False
868,0,0,0,False
869,1,1,1,True
871,0,0,0,False
880,0,0,0,False
882,1,0,0,False
883,0,0,0,False
899,0,0,1,False
900,0,0,0,False
903,0,0,0,False
904,0,0,0,False
915,1,1,1,True
922,0,0,0,False
924,0,0,0,False
931,0,0,1,False
939,0,0,0,False
940,0,1,1,False
941,0,0,0,False
943,0,0,0,False
944,0,0,0,False
946,0,0,0,False
948,0,0,0,False
952,0,0,0,False
956,0,0,0,False
958,0,0,0,False
959,0,0,0,False
965,0,0,1,False
967,0,0,0,False
979,0,0,0,False
985,0,1,1,False
991,0,0,0,False
996,0,0,0,False
999,1,1,1,True
